first_appeared_in_issue,name,origin,publisher
Home are the Heroes!,Araki,Alien,Marvel
The Fate of the Phoenix!,Manta,Alien,Marvel
Superdestroyer,Kyte,Alien,Marvel
Testament,Stuff,Alien,Marvel
Superdestroyer,G-Type,Alien,Marvel
Superdestroyer,Neosaurus,Alien,Marvel
Superdestroyer,Fader,Alien,Marvel
Testament,Squorm,Alien,Marvel
Testament,Arc,Alien,Marvel
Imperial,Immundra,Alien,Marvel
,Blaze Carson,Human,Marvel
The Man From Room X,Sublime,Infection,Marvel
Sometimes The Good Guys Lose!,Eternity,God/Eternal,Marvel
Maelstrom Manifest,Infinity,God/Eternal,Marvel
Above and Beyond,Marcus Kang,Human,Marvel
Who's That Lady?,Spectrum,Human,Marvel
Lords and Leaders,Jonathan Tremont,Human,Marvel
Defender of The Realm!,Presence,Radiation,Marvel
Turbulence,Silverclaw,Human,Marvel
Terminus,Maxie Zeus,Human,DC Comics
Mummy on the Moon,Aten-Hut,Human,Vertigo
Famous Teens,Charles VIII of France,Human,Non-Fictional
But Bork Can Hurt You,Bork,Human,DC Comics
A Year in the Life; Topeka; The Prophecy; Rematch; The Earth Spins,Josiah Power,Human,DC Comics
A Year in the Life; Topeka; The Prophecy; Rematch; The Earth Spins,Skyrocket,Human,DC Comics
A Year in the Life; Topeka; The Prophecy; Rematch; The Earth Spins,Striker Z,Human,DC Comics
Night of the Stalker!; Chapter 3: The Resurrection of Paul Kirk,Asano Nitobe,Human,DC Comics
Deathmask,Christine St. Clair,Human,DC Comics
A Year in the Life; Topeka; The Prophecy; Rematch; The Earth Spins,Witchfire,Other,DC Comics
Claws,Fastball,Human,DC Comics
,Javelin,Human,DC Comics
Executive Search,Starshrike,Other,DC Comics
"Once More, The End of the World...",Papa Hagg,Human,Marvel
The Ultimate Cosmic Experience!,Ardina,Alien,Marvel
Blinded By Science,Dr. Christopher Ganyrog,Alien,Marvel
Blinded By Science,Romantic Objective Pamela,Alien,Marvel
Nightmare!,Yandroth,Human,Marvel
The Origin of the Red Raven,Red Raven,Human,Marvel
"They Shoot Hulks, Don't They?",Malicia Parrington,Human,Marvel
It's Our World,Bunnyhopper,Other,Marvel
The Best Defense,Springthorpe,Human,Marvel
Hell and Highwater!,Ulysses Highwater,Other,DC Comics
All Aboard--The Roller Coaster of Love!,Lewis LeBeau,Human,DC Comics
Shades on a Moonlit Lake,Lester Wilde,Human,DC Comics
Who Wants To Rob A Millionaire?,Margot Wachsler,Human,DC Comics
Gotham Skies,Detective Pettit,Human,DC Comics
Um...,Emeril Chance,Human,DC Comics
Night and Day,Lady Luna,Mutant,DC Comics
Night and Day,Moonrock,Mutant,DC Comics
All Aboard--The Roller Coaster of Love!,Buster,Human,DC Comics
A Heart Broken in Two,Kennedy Two-Bear,Human,DC Comics
A Heart Broken in Two,Nixon Two-Bear,Human,DC Comics
A Heart Broken in Two,Frank Surley,Human,DC Comics
Welcome to the Party,Carrie Chispazo,Human,DC Comics
All Aboard--The Roller Coaster of Love!,Jack Happi,Human,DC Comics
All Aboard--The Roller Coaster of Love!,Di Happi,Human,DC Comics
If the Crime Fits...,Guy Kopski,Human,DC Comics
Who Wants To Rob A Millionaire?,Quelle,Human,DC Comics
Guns Blaze In Mesquite!,Tex Morgan,Human,Marvel
The True Story of Batman and Robin,Bob Kane,Human,Non-Fictional
The Strings Of Punch and Jewelee,Jewelee,Human,DC Comics
A Heart Broken in Two,Anya Cartwright,Human,DC Comics
A Heart Broken in Two,Mr. Zed,Human,DC Comics
A Heart Broken in Two,Mr. Able,Human,DC Comics
,Greyshirt,Human,America's Best Comics
Young Greyshirt: 1969; Six Seconds,Coppernob,Human,America's Best Comics
Young Greyshirt: 1969; Six Seconds,Lady L,Human,America's Best Comics
Young Greyshirt: 1969; Six Seconds,Carmine Cabone,Human,America's Best Comics
