first_appeared_in_issue,name,origin,publisher
Two Worlds in Frenzy!,Bernard Kloss,Human,Marvel
,Seesha,Human,Marvel
"Now, Not Tommorow Part 1: No Turning Back",Ember,Mutant,Marvel
1001 Arabian Nights,Old Man,Human,Zenescope Entertainment
Ultimo!,Senator Hawk,Human,Marvel
,Mr. Etheridge,Human,Vertigo
Frenzy in a Far-Off Land!,Prince Rey,Human,Marvel
A Robinson Crusoe In The Negative Zone!,Metalloid,Robot,Marvel
The Hounds of Helios,The Brute,Human,Marvel
What if Spider-Man joined the Fantastic Four?,Cousin Betsy The Plant Lady,Human,Marvel
The City in the Storm!,Aluna,Human,Marvel
I Was In The Clutches Of The Living Shadow,Warlord Kaa,Alien,Marvel
The Day Doc Turned Robot!,Helium,Robot,DC Comics
The Day Doc Turned Robot!,Oxygen,Robot,DC Comics
The Day Doc Turned Robot!,Carbon Dioxide,Robot,DC Comics
The Day Doc Turned Robot!,Carbon Monoxide,Robot,DC Comics
,Wattson,Human,Dark Horse Comics
,Helen Heyer,Human,Vertigo
War Against the World-Builders!,Harold Quiller,Human,DC Comics
Batman - Dragon Slayer?,Carlos Esteban,Human,DC Comics
If There Were No Batman ... I Would Have to Invent Him!,Inspector P. J. Maddox,Human,DC Comics
Topolino e il lungo ritorno,Reginald O'Connors,Animal,Disney
Evil is the Earth-Shaker,Earth-Shaker,Robot,Marvel
Evil is the Earth-Shaker,Josie,Human,Marvel
Crazy,Gerald Ford,Human,Non-Fictional
The Unburied One!,Agron,Other,Marvel
King Solomon's Frog!,Princess Zanda,Human,Marvel
The Origin of The Spirit,Lady Luck,Human,DC Comics
,The Count,Other,KiZoic
The Menace of Metallo!; Congo Bill Dies at Dawn!; The Supergirl From Krypton!,Zor-El,Alien,DC Comics
Krypton -- No More!,Mr. Slotvik,Human,DC Comics
Krypton -- No More!,Morton Kalmbach,Human,DC Comics
,Mr. Keeper,God/Eternal,DC Comics
Startling Secret of the Devilish Daughters!,Dan Raynor,Human,DC Comics
Murder Comes in Black Boxes!,Pamela Drew,Human,DC Comics
Omega Bomb Target: Gotham City,Dr. Lucas Nagy,Human,DC Comics
Walt Disney's Lady and the Tramp with Jock,Pedro,Animal,Disney
Walt Disney's Lady and the Tramp Album,Chiquita,Animal,Disney
Walt Disney's Scamp,Juanita,Animal,Disney
Walt Disney's Scamp,Rosita,Animal,Disney
Walt Disney's Scamp,Carmelita,Animal,Disney
Brave New Heroes!,Fredzilla,Human,Marvel
,Sarabi,Animal,Disney
Back To Long Ago!,Malcolm McDuck,Animal,Disney
Walt Disney's Peter Pan,Smee,Human,In the Public Domain
,Ryuji Yamazaki,Human,SNK Playmore
,Admiral Salo,Alien,Marvel
Games Godlings Play; The World Destroyers; The House of Shadows,Teju,Alien,Marvel
When Walk the Ancient Dead!,Ho Rak Kim,Human,Marvel
,The Bionic Man,Cyborg,Dynamite Entertainment
,B. Jenet,Human,SNK Playmore
Danger is a Man Called Tarantula!,Abe Beame,Human,Marvel
Cloud of Witness!,Proffit,Other,Marvel
Assassin's Mind,Mind-Star,Human,Marvel
"The Gnome, the Queen and the Savage!",Raknor,Alien,Marvel
Like Tigers in the Night,Chaka,Human,Marvel
Like Tigers in the Night,Golden Tigers,Human,Marvel
Night of the Blue Bullet,Blue Bullet,Human,Marvel
Star-Search: Dust and Demons,Warkon,Alien,Marvel
Star-Search: Dust and Demons,Shribe,Alien,Marvel
When the Commissar Commands!,Commissar,Human,Marvel
Murder Comes in Black Boxes!,Aldo Fondi,Human,DC Comics
Murder Comes in Black Boxes!,Nkuma Senghor,Human,DC Comics
,William Blaque,Human,Charlton
,Korak,Human,Gold Key
,David Innes,Human,In the Public Domain
Edgar Rice Burroughs' John Carter of Mars,Woola,Animal,In the Public Domain
Rebirth Also Kills,Three Who Are All,God/Eternal,Marvel
"""...and death shall be the change""",Fire Eyes,Human,Marvel
Just a Series of Events!,Marr Gar,Alien,Marvel
Just a Series of Events!,Lamilm Gor,Human,Marvel
Just a Series of Events!,Ancient Traveller,Alien,Marvel
Just a Series of Events!,Constable Trueheart,Alien,Marvel
Chaos in the Kingdom of Trolls,Trogg,Other,Marvel
Cats and No Dogs!,El Gato,Human,Marvel
Topographical Man,Topographical Man,Other,Marvel
Behind The Iron Mask!,Iron Mask,Human,Marvel
The Challenge of the Crypto-Man!,Crypto-Man,Robot,Marvel
,Marie Severin,Human,Non-Fictional
The Day of the Gods,Domo,God/Eternal,Marvel
Ghost of the Deep / The Riddle of the Ages!/ Duel of Death!,Pinky,Human,DC Comics
,Bangalore,Human,Dark Horse Comics
Murder Comes in Black Boxes!,Jorge Zamora,Human,DC Comics
,Coley,Human,Eros Comix
,Lars Porsena Of Clusium,Human,Charlton
Pete's Dragon,Pete,Human,Disney
The Dime from Uncle,176-173,Animal,Disney
Days of Future Present: Past Participle Part 1,Ebon Samurai,Human,Marvel
,Tral,Other,Marvel
Unto you is Born the Doomsman; The Power of Ka-zar,Prince Rudolfo,Human,Marvel
If Super-Awesome-Largeness Be My Destiny!,Juno,God/Eternal,Marvel
For The Love Of Gods,Layana Sweetwater,Alien,Marvel
If Super-Awesome-Largeness Be My Destiny!,Antonitus,God/Eternal,Marvel
"Now, Not Tommorow Part 1: No Turning Back",Warhead,Human,Marvel
Hulk: The Incredible Guide,Ursus,God/Eternal,Marvel
Monark Starstalker,Monark Starstalker,Human,Marvel
Monark Starstalker,Robin Goodfriend,Human,Marvel
Monark Starstalker,Brigid Siebold,Human,Marvel
Brute Fury!,Scrounger,Human,Marvel
Like Tigers in the Night,Bill Hao,Human,Marvel
Metalstorm!,Tanuta,Human,Marvel
Death Is A Golden Gorilla!,Gorr,Animal,Marvel
Talons Of The Man-Tiger!,Man-Tiger,Other,Marvel
The Parasite's Prism of Peril!,Eddie Foil,Human,DC Comics
The Parasite's Prism of Peril!,Moose MacElroy,Human,DC Comics
,Madame Sun,Human,DC Comics
Wow Comics,Mr. Scarlet,Human,DC Comics
"Sandra of the Secret Service: ""The Gavonian Affair, Part 13 (of 13)""",Alexander The Great,Human,Non-Fictional
"Texas History ""Movies""",Napoleon Bonaparte,Human,Non-Fictional
The Claws of Emperor Eagle,Mahmoud Kahn,Human,DC Comics
The Claws of Emperor Eagle,Victor Lasher,Human,DC Comics
The Only Crime in Town!,Amos Goodwin,Human,DC Comics
The Only Crime in Town!,Andy Novak,Human,DC Comics
The Only Crime in Town!,Nola Roberts,Human,DC Comics
The Only Crime in Town!,George Whitfleet,Human,DC Comics
Maps & Legends,Marcus,Human,Oni Press
HC,Blythe Cameron,Human,Vertigo
Mommy's Girl,Nusqua,Human,Vertigo
,Captain Commando,Human,Capcom
,Necro,Mutant,Capcom
,Carson Napier,Human,In the Public Domain
,Karen,Human,Warren
Comes the Hangman,Raymond Coker,Human,Marvel
The kiss of Death; Demon Fire,Harry Gotham,Human,Marvel
Omega The Unknown,James-Michael Starling,Alien,Marvel
Burn While You Learn!,Dian Wilkins,Human,Marvel
Welcome To Hell's Kitchen!,Gramps,Human,Marvel
Burn While You Learn!,Nick Delbello,Human,Marvel
Cats and No Dogs!,Teresa Mendez,Human,Marvel
Burn While You Learn!,John Nedley,Human,Marvel
Cars Motori Ruggenti,Mack,Other,Disney
Nova,Rhomann Dey,Alien,Marvel
Fear in the funhouse,Clara Cooper,Human,Marvel
Mind-Storm!,Khumbala Bey,Human,Marvel
The Testing of Shang-Chi,Bruce Lee,Human,Non-Fictional
Bug Hunt,Arthur Woodman,Human,Marvel
The Devil-God of Bal-Sagoth!,Dagon,God/Eternal,In the Public Domain
,Lifeline,Human,Dark Horse Comics
When Lightning Strikes... Thunder Kills!,Thunder,Robot,DC Comics
When Lightning Strikes... Thunder Kills!,Lightning,Robot,DC Comics
The Rage Of Yesterdays Lost!,Master Hand,Human,DC Comics
Hellfire and Holocaust!,Zanadu,Alien,DC Comics
Untitled,Yuan,Human,Red Eagle Entertainment
Enter: The Leap Frog!,Leap-Frog,Human,Marvel
Here Dwells The Star Thief!,Tom Vocson,Human,Marvel
,Henry Kissinger,Human,Non-Fictional
The Crushing Conquer-Lord,Conquer-Lord,Human,Marvel
Into The Maw of Madness,Karanada,Other,Marvel
Audition,Craig Garrett,Human,First
Stan,Brazil,Alien,First
Fury of the Night-Creature!,Cardinal,Human,Marvel
Wicked Messenger of Madness!,Mordillo,Human,Marvel
The Man Who Created the Black Widow,Yuri Petrovich,Human,Marvel
,Telegram Sam,Human,DC Comics
,Sir Robert Peel,Human,Non-Fictional
Stop Me Before I Kill Batman,Inspector Clive Kittridge,Human,DC Comics
,Yvette,Human,Egmont
Land of the Zombies,Lilith,God/Eternal,In the Public Domain
"""Island of Lost Heads"", ""John Carter of Mars"", ""The Peaceful Mist"" & ""Battle Cry!""",Tanna,Alien,DC Comics
,Nkima,Animal,In the Public Domain
Cars Motori Ruggenti,Red,Other,Disney
,Guido,Other,Disney
Highschool musical,Luigi,Other,Disney
,Mario,Other,Disney
The Sword And The Sorcerer!,Kronak,Human,Marvel
The Sword And The Sorcerer!,Shamu-Shan,Human,Marvel
,Robert Kennedy,Human,Non-Fictional
Captain America's Love Story,Carol Harding,Human,Marvel
Captain America's Love Story,Mason Harding,Human,Marvel
<Perfection>,Yashiro Nanakase,Human,SNK Playmore
The Trojan Horde,General Heshin,Human,Marvel
San Diego Comic-Con Edition 2000,10th Muse,God/Eternal,TidalWave Productions
Solomon Grundy Wins on a Monday!,Terri Cross,Human,DC Comics
No Man Shall I Call Master!,Harun,Alien,DC Comics
The Joker's Daughter,Jack Lightfoot,Human,DC Comics
The Joker's Daughter,Christine Ariadne,Human,DC Comics
The Riddle of the Man Who Walked Backwards!,Sam Taggart,Human,DC Comics
Vulcan Son of Fire!,Vulcan,Human,DC Comics
"Going Down, Part 2",Clauda,Human,Vertigo
"Vampires, Werewolves, And Cheerleaders Oh My!",Merri Death,Human,Broadsword Comics
Cloud of Witness!,Saripha Thames,Human,Marvel
Cloud of Witness!,Brian Anderson,Human,Marvel
Cloud of Witness!,Amelia Sefton,Human,Marvel
Wild Midnight,Midnight,Cyborg,Marvel
The Crushing Conquer-Lord,Samuels,Human,Marvel
Two Worlds in Frenzy!,Tandy Snow,Human,Marvel
Sword Quest,Kwang-Che Yu,Human,Marvel
On the Track of the She-Pirate!,Amra the Lion,Human,Marvel
Lord of the Lions!,Shulo,Animal,Marvel
The Coming of the War-Lord!,Old Skull,Human,Marvel
"Superman, 2001!",General Garrett,Human,DC Comics
Dead Man's Quadrangle,Carl Curtis,Human,DC Comics
The Web Vs. Ironfist,Iron-Fist,Human,Red Circle
,General B. Hawker,Human,Charlton
The War Machine! / The Girl in the Garden,Duare,Alien,DC Comics
"""Song of the Dolpin"", ""Death Has Three Heads""& ""Gathering Tarel""",Duran,Human,DC Comics
A Sister of Hell,Jessalla,Human,Marvel
The Trustees of Hate; Earthquake; Origin of the Thin Man; The Teutonian Agents; Introducing the Black Widow; Suicide Mystery; Devil-God; The Train Wreck; The Jewelry Store Robbers,Thin Man,Human,Marvel
,Jack Frost,Human,Marvel
,The Adjective,Mutant,Image
Magic is Alive!,Lady Janice,Human,Marvel
Mind Wave and His Fearsome Think Tank,Uri Geller,Human,Marvel
A Cold Knight's Frenzy!,Simon Ryker,Human,Marvel
Prog 1035,Nikolai Dante,Human,Rebellion
The Legend Assassins!,High Overlord,Alien,Marvel
They Call Him -- Killraven!,Deathraven,Human,Marvel
Lois Lane's Outlaw Son!,Kryptonite Man,Radiation,DC Comics
"Clark Kent, Get Out of My Life!",Solarman,Human,DC Comics
Attend or Die,Paul Kirk III,Human,DC Comics
Certain Death!,Slash,Human,DC Comics
My World Begins In Yesterday,Iris Jacobs,Human,DC Comics
,The Rock,Human,Non-Fictional
"""Death Rattle Of The 12-Hour Man!""/Meet Kid Flash/The Duel Of The Super-Heroes!/""The Images Of Doom""/""The 9th Wonder Of The World!""/Vengeance VIa Television!",Stacy Conwell,Human,DC Comics
,Alexei Brund,Human,DC Comics
,Princess Evalina,Human,DC Comics
,Jack Corley,Human,DC Comics
"Grasscutter, Prologue",Yamata no Orochi,God/Eternal,In the Public Domain
The Ferry Blows at Midnight!,Joey-One-Eye,Human,DC Comics
,Eric Redd,Human,Charlton
Chasse Ã  l'ogre,Hemacyte,Human,Soleil
,Willie,Human,Charlton
,Jack Childress,Human,Charlton
Take Off Part One: Plane For Keeps,Hacksaw,Animal,Disney
Who Lurks Beyond the Labyrinth,Possessor,God/Eternal,Marvel
A Witch In Time!,Cotton Mather,Human,Marvel
Lair of the Lost!,Jim Starlin,Human,Non-Fictional
Shall I Love the Bird of Fire?,Dhasha Khan,Human,Marvel
The Economy Is So Bad That ...,Amos Crawley,Human,Marvel
The Economy Is So Bad That ...,Emerson Bale,Human,Marvel
Whodunit!,Leroy Tallon,Human,Marvel
Gotham City Treasure Hunt!,Amba Kadiri,Human,DC Comics
,Emma Bunton,Human,Non-Fictional
DoubleDuck (p.1),Agent B-Black,Animal,Disney
,Victoria Beckham,Human,Non-Fictional
,Geri Halliwell,Human,Non-Fictional
Watching the Detectives,Puck Desalvo,Human,Vertigo
Watching the Detectives,Hector Cruces,Human,Vertigo
Act 3 (of 3),Shultz,Infection,Chaos! Comics
"Wet, Part 1",Reydel,Human,Vertigo
"The Artificial Heart, Book I: Handmedowns of the Ragged School",Brother Salamander,Human,Vertigo
,Richard,Human,Eros Comix
Part of the Old Testament,Joab,Human,In the Public Domain
Absent Friends,Silhouette,Human,DC Comics
King David,Achish,Human,In the Public Domain
The Comics Magazine,Koth,God/Eternal,DC Comics
A Waltz of Screams,Rachel Durning,Human,Vertigo
"Room and Boredom, Part 2: ""...I Was Wondering When I'd Hear from You""",Enrico Canepazzo,Human,Vertigo
"Going Down, Part 2",Alex Alexis,Human,Vertigo
Beep Beep The Road Runner,Wile E. Coyote,Animal,Warner Brothers
The Panther Vs. The Klan Part Two: They Told Me a Myth I Wanted to Believe,Rebecca Winthrop,Human,Marvel
Riders of the River-Dragons!,Nyami,Human,Marvel
The Skyscraper that Screamed for its Life! / Puzzle of the Telepathic Twins!,May Marigold,Human,DC Comics
Clark Kent Forever - - Superman Never!,Web-Nu,Alien,DC Comics
The Midnight Murder Show! / The Little Man from Mars!,Jasper J. Pepperwinkle,Human,DC Comics
Fury of the Energy Eater! / Who is Mr. X?,Xviar,Alien,DC Comics
The Freedom Fighters,District Attorney David Pearson,Human,DC Comics
Midnight Rustler of Gotham City!; The Mystery Man Who Walked on Air!,Tad Wolfe,Human,DC Comics
Un corps contre remboursement,Diamond Lilly,Human,DC Comics
"Dog Company: War Stories, Part One",Sergeant Harp,Human,Vertigo
The Bank-Shot That Baffled Batman,Speed Durkin,Human,DC Comics
The Bank-Shot That Baffled Batman,Simon Hakes,Human,DC Comics
The Bank-Shot That Baffled Batman,Boris Chomsky,Human,DC Comics
The Tri-Man Lives!,The Dancer,Human,Marvel
The Tri-Man Lives!,The Mangler,Human,Marvel
The Tri-Man Lives!,The Brain,Human,Marvel
"Cages of Myth, Managerie of Mirrors!",Darkstrider,Mutant,Marvel
The City's Not For Burning!,Michael Kramer,Human,Marvel
,Benjamin,Human,Vertigo
"Look Out DD, Here Comes the Death Man",Brother Zed,Human,Marvel
The Mystery of the Midnight Stalker,Huntsman of Zeus,Human,Marvel
The Trojan Horde,William Taurey,Human,Marvel
The Skyscraper that Screamed for its Life! / Puzzle of the Telepathic Twins!,April Marigold,Human,DC Comics
The Man Who Wanted Forever,Patchwork Man,Human,DC Comics
The Tunnel Through Time!; Once a Green Lantern--Always a Green Lantern!,Imi Kann,Alien,DC Comics
,Boris,Human,Egmont
The Challenge from 5700 A.D.!,Raf Tamin,Alien,DC Comics
The Challenge from 5700 A.D.!,Chairman Dasor,Human,DC Comics
The Challenge from 5700 A.D.!,Iona Vane,Human,DC Comics
,Smiley Burnette,Human,Non-Fictional
The Underworld Olympics '76!,J. P. Vandermeer,Human,DC Comics
,Vixen,Animal,In the Public Domain
Codename: Assassin,Assassin,Human,DC Comics
Blood and Sacrifices,Roderick Tate,Human,Marvel
The Mysterious Masked Matador!,Matador,Human,Marvel
Cry Killraven!,Carmilla Frost,Human,Marvel
Cry Killraven!,Grok,Other,Marvel
The Water,Father Time,Human,DC Comics
Small War of the Super Rifles,Jim Aparo,Human,Non-Fictional
The 50-Story Killer!,Bob Haney,Human,Non-Fictional
,Frank Gilbert,Human,DC Comics
Un corps contre remboursement,Carol Ames,Human,DC Comics
,Gloria Scully,Human,Charlton
The Life and Times of Scrooge McDuck - chapter 10: The Invader of Fort Duckburg,Fulton Gearloose,Animal,Disney
Les collines noires,Gustav Frankenbaum,Human,Bonniers JuniorfÃ¶rlag
La Caravane,Ugly Barrow,Human,Dargaud
The Thing From the Black Hole Star!,Commander Troga,Alien,Marvel
,Pintel,Human,Disney
La Banda Bassotti e la speciale specializzazione,Glory-Bee,Animal,Disney
North of the Yukon,Soapy Slick,Animal,Disney
Not All the Shades of Death nor Evil`s Majesty,Gideon Blaine,Human,Marvel
Not All the Shades of Death nor Evil`s Majesty,Belaric Marcosa,Other,Marvel
Slayers From the Sea!,Dr. Jennings,Human,Marvel
The Man Who Killed Jiminy Cricket,Quentin Chase,Human,Marvel
The Man Who Killed Jiminy Cricket,Cockroach Hamilton,Human,Marvel
Deathsong,Dansker,Other,Marvel
First Rage: Son of Fire! And Now...the Curse of the Black Lama!,Black Lama,Human,Marvel
Mission Into Madness!,Baron Rockler,Human,Marvel
Mission Into Madness!,Baroness Rockler,Human,Marvel
Seven Against the Nazis!,Junior Juniper,Human,Marvel
,ReneÃ©,Human,Vertigo
The Last Iron Fist Story: part 4,Crane Mother,Human,Marvel
The Power to Live...The Power to Die!...,Gamal Hassan,Human,Marvel
"Full Moon, Dark Fear!",Simon Stroud,Human,Marvel
Death Stalks the Stairway to the Stars!,Sky-Walker,Human,Marvel
The Menace of the Fiery Heads!,Jim Standish,Human,DC Comics
The Menace of the Fiery Heads!,Foxey Sam,Human,DC Comics
The Menace of the Fiery Heads!,Blinky Johnson,Human,DC Comics
The Menace of the Fiery Heads!,Harry Watkins,Human,DC Comics
,Captain Nathaniel Churchmouse,Animal,Disney
"""Forbidden Tomb"", ""Mars--or Bust"", & ""Amazon of Barsoom""",Thorjah,Alien,DC Comics
"""The Arena of Sudden Death"" & ""Trial of Fear""",Dian the Beautiful,Human,In the Public Domain
,Dav-An,Human,DC Comics
The World Still Needs... The Champions!,Richard Fenster,Human,Marvel
La Manzana de la Discordia,Typhon,God/Eternal,In the Public Domain
The Strange High Tower in the Mist!,Bat-Thing From The Tower In The High Mist,Other,Marvel
The Fury of the Freak / 30 Minutes to Live,Peggy Carter,Human,Marvel
The God Killer,Chandra,Human,Marvel
The Miracle of Thirsty Thursday!,Joann Jaime,Human,DC Comics
The Miracle of Thirsty Thursday!,Dr. Larry Ishmael,Human,DC Comics
The Flaming Darkness; The Rival Flash;  The Case of the Painted Horse; The Vanishing Lighthouse; Crime on Her Hands,The Rival,Human,DC Comics
The Daily Death of Terry Tremayne,Terry Tremayne,Human,DC Comics
The Daily Death of Terry Tremayne,Noel Paris,Human,DC Comics
The Daily Death of Terry Tremayne,Amos Janghurst,Human,DC Comics
The Daily Death of Terry Tremayne,Carlos Hakes,Human,DC Comics
Land of Fear!,Tara,Human,DC Comics
,Mr. Dedd,Other,Charlton
,Alexandra Meade,Human,Charlton
,Countess Von Bludd,Other,Charlton
"""Watch Out For... Tiger Shark!""",Dr. Dorcas,Human,Marvel
Who Strikes For Atlantis?,Saru-San,Other,Marvel
Rio,Rio,Human,Unknown Publisher
The Nightmare Box,Danielle Nicolle,Human,Marvel
Battle over Britain!,Donar,God/Eternal,Marvel
Battle over Britain!,Froh,God/Eternal,Marvel
Beware the Inhumans!; The Sting of The Black Widow,Centaurius,Other,Marvel
The Lurker Beneath Loch Fear!,Loch Fear Monster,Animal,Marvel
,Black Shadow/White Shadow,Mutant,Marvel
The Secret of Ashtoreth!,Astarta,Human,Marvel
End of Greys,Blackcloak,Alien,Marvel
End of Greys,SeGa,Alien,Marvel
"The Luthor Nobody Knows! / Hey, You--with the Glasses--I Don't like your Face!",Flotsky,Human,DC Comics
"Sandra of the Secret Service: ""The Resbian Affair, Part 4 (of 5)""",Benedict Arnold,Human,Non-Fictional
The Invader from Hell!,Ronny Lowndes,Human,DC Comics
The Joker's Original Robberies,Fred Purley Robbins,Human,DC Comics
Murder Masquerade,The Sheikh,Human,DC Comics
Murder Masquerade,Olive Hopkins,Human,DC Comics
Murder Masquerade,Leo Lunt,Human,DC Comics
,Kajo The Japanese Champion Of Sumo,Human,Charlton
All Pieces of Fear!,Ralph Caccone,Human,Marvel
Fury of the Night-Creature!,Eric Prawn,Human,Marvel
Code Name; Berserker,Veronica Frankenstein,Human,Marvel
Code Name; Berserker,Werner Schmidt,Human,Marvel
Code Name; Berserker,Indigo,Human,Marvel
,Ash Crimson,Human,SNK Playmore
,Shizumaru Hisame,Human,SNK Playmore
The Eight Impossible Missions!,Trix Rabbit,Animal,Gold Key
The Time-Powered Peril!,Sylvester Wyatt,Human,DC Comics
The Time-Powered Peril!,Pernel Roland,Human,DC Comics
Death-Cult,Lee Wing,Human,Marvel
Invitation to a Murder!,Waxey Kruper,Human,DC Comics
Invitation to a Murder!,Big Jim Cody,Human,DC Comics
,E-Man,Other,Charlton
The Inner Sun,Teddy Q,Animal,Charlton
,Nova Kane,Human,Charlton
Wunder-World,Rog 2000,Robot,Charlton
The Frost Giant's Daughter / The Fury of the Femizons / ...Man-Thing! / Black Brother / The Night of the Looter!,Ellen Brandt,Human,Marvel
,Kromag,Human,Atlas Comics
Who Strikes For Atlantis?,Kor-Konn,Other,Marvel
The Name is... Warhawk,Rafael Scarfe,Human,Marvel
School's Out!,Carol Selby,Human,Marvel
The Doorway Screaming Into Hell!,Helleyes,Other,Marvel
Brothers of the Blade!,Clawfoot,Human,Marvel
Brothers of the Blade!,Slicer,Human,Marvel
Brothers of the Blade!,Steel-Skull,Human,Marvel
Madness is the Murder-Maze!,Alchemoid,Other,Marvel
,Sylvester Stallone,Human,Non-Fictional
"The Man Who Cried Super-Wolf! / Babble, Babble Toil and Trouble!",Sam Stern,Human,DC Comics
A Dragon Fights Alone,Carolyn Woosan,Human,DC Comics
,Dancer,Animal,In the Public Domain
,Dasher,Animal,In the Public Domain
,Prancer,Animal,In the Public Domain
Un giorno lo incontrerai,Miriadel,Human,Disney
-,The Evil Queen,Human,In the Public Domain
,Edgar,Human,Disney
Lex & Max; Sebastianâ€™s Monster; Night Clubs Suck,Vermillion,Human,SLG Publishing
Anybody Here Know a Guy Named Meteor Man?,Jeremiah,Mutant,Marvel
The Robin Hood Raider,The Robin Hood Raider,Human,Marvel
Mother Goose and Nursery Rhyme Comics,Mary,Human,In the Public Domain
Eelar Moves In Mysterious Ways!,Eelar,Animal,Marvel
Beyond A Shadow...,Berserker,Human,Marvel
Panic Beneath the Earth,J. C. Pennysworth,Human,Marvel
Crawl-Space! part two,Prizzi,Human,Marvel
Turok Son of Stone,Andar,Human,Dynamite Entertainment
The Phantom Horseman of Metropolis! / Right Down My Alley!,Phantom Horseman,Other,DC Comics
Untitled,Myrelle Berengari,Human,Red Eagle Entertainment
The Phantom Horseman of Metropolis! / Right Down My Alley!,Jack C. Harris,Human,DC Comics
The Phantom Horseman of Metropolis! / Right Down My Alley!,Carl Gafford,Human,DC Comics
The Phantom Horseman of Metropolis! / Right Down My Alley!,Elaine Pepperwinkle,Human,DC Comics
The Phantom Horseman of Metropolis! / Right Down My Alley!,Candy Chapin,Human,DC Comics
I Am Curious (Black)! / Where Do You Plant a Thorn?,Dave Stevens,Human,DC Comics
Superman Marry Me / The Superwoman of Metropolis!,Melba Manton,Human,DC Comics
"The Day 100,000 People Vanished!",Terga Kalmaku,Human,DC Comics
The Flight of the Failures,Manton,Human,DC Comics
,Winnie The Witch,Other,Charlton
,Audrey Hepburn,Human,Non-Fictional
,Thorne Strand,Human,Warren
El Cid,El Cid,Human,Non-Fictional
Daughters of the Death-Goddess,Shaya,Human,Marvel
Daughters of the Death-Goddess,Ushas,Human,Marvel
"Behold, The Watcher; Harbinger; The Myth of Man; The Scarlet Thread; Yin & Yang; The Shaman of Greenwich Village; Age of Ultron",Francesca Trask,Human,Marvel
Decay Meets The Mad Viking!,Astrid Josefson,Human,Marvel
A Book Burns in Citrusville!,Olivia Selby,Human,Marvel
Fangs Of Fire And Blood!,Harold Holliman,Human,Marvel
The Dweller In The Pool!,Unos,Human,Marvel
,Tor,Human,DC Comics
The Computer with a Secret Identity!,Dr. Mitchell,Human,DC Comics
The Avenger #1,The Avenger,Human,Magazine Enterprises
Death of a Daredevil,Dayre,Human,DC Comics
Death of a Daredevil,Mason Brazil,Human,DC Comics
,SvÃ¤rmor Agata,Human,Egmont
,Groucho Marx,Human,Non-Fictional
"Sandra of the Secret Service: ""The Brain, Part 6 (of 6)""",Bing Crosby,Human,Non-Fictional
Fires of Rebirth,Shadow-Stalker,Human,Marvel
King Cadaver is Dead and Living in Wakanda!,King Cadaver,Radiation,Marvel
The Heart of Rage,The Grind,Human,Marvel
Who was that Dog I Saw You with Last Night? / Bogus Batman!,Chelsea The Dog,Animal,DC Comics
Fury of the Night-Creature!,Zandor,Human,Marvel
Prisoner Of The Fantastic Fog!,Jerry Morgan,Human,Marvel
Madness Means the Mindworm,Mindworm,Mutant,Marvel
,Sacrificer,Cyborg,Marvel
The Death Breeders!,Atalon,Human,Marvel
The Death Breeders!,Death Breeders,Human,Marvel
Search for the Impossible Man! / The Kid with the Million Dollar Smile!,Jason Fleece,Human,DC Comics
Search for the Impossible Man! / The Kid with the Million Dollar Smile!,Selma Fleece,Human,DC Comics
The Mystery That Never Was!,Hal Hemingway,Human,DC Comics
The Mystery That Never Was!,Tom Wilson,Human,DC Comics
The Mystery That Never Was!,Scranton Loring,Human,DC Comics
,Sgt. Stryker,Human,Atlas Comics
The Dark Side of Evil!,DePrayve,Human,Marvel
,Lindsay Lohan,Human,Non-Fictional
"Red Sails at 40,000 Feet!",Maura Spinner,Human,Marvel
Enter Chaos part two,Thera,Human,Marvel
Riot On Regent Street,Doctor Synne,Human,Marvel
The Interplanetary Olympics,Borko,Alien,DC Comics
The Interplanetary Olympics,Boscar,Alien,DC Comics
"Your Friend, Superman",Frank Frederick,Human,DC Comics
"Your Friend, Superman",Carson Steele,Human,DC Comics
,Henry Jones,Human,DC Comics
"Your Friend, Superman",Geezer,Other,DC Comics
Too Many Pranksters,Alice Neal,Human,DC Comics
"The Fortress Death-Trap! / His Highness, Prince Jimmy Olsen!",Tal-Var,Alien,DC Comics
,IRS Agent Rupert Brand,Human,DC Comics
,Agahnim,Other,Nintendo
One,Jessica Moore,Human,Eros Comix
The Man Who Wouldn't Quit,Professor Fergusson,Human,DC Comics
Um Natal InesquecÃ­vel,Gabriela,Animal,Disney
Nightmare Without End,Dan Cathcart,Human,DC Comics
The Joker Reforms,John Winthrop,Human,DC Comics
Captain Fearless,Captain Fearless,Human,Holyoke
Betty Hutton,Betty Hutton,Human,Non-Fictional
Psi Anxiety,Troublemaker,Human,Marvel
King of the Forest,Little John,Animal,Disney
King of the Forest,Prince John,Animal,Disney
King of the Forest,Robin Hood,Animal,Disney
King of the Forest,Sir Hiss,Animal,Disney
,Kuzzo,Human,Warren
Prog 159,Mean Machine,Cyborg,Rebellion
Night of the She-Demon,Zofia,Human,Marvel
Night of the Death Stalkers,Quincy Harker,Human,Marvel
Rod In Hell; Should Old Acquaintance...;Down On The Farm;Action Figures; The Hitching Girl; Sweet Chastity,Bealzabella,Other,Penthouse Comics
Citizen Pain; Red; Nazi Kong; Sweey Chastity,Nazi Kong,Animal,Penthouse Comics
The Wildest Party,Janus,Other,Marvel
